file1,start1,end1,method1,file2_x,start2_x,end2_x,method2,file2_y,start2_y,end2_y,classification,notes
11202699_0.java,1,12,method,heritrix-1/heritrix-1.14.4/src/java/org/archive/util/FileUtils.java,223,234,deleteDir,hsqldb-2/hsqldb-2.0.0/hsqldb/src/org/hsqldb/test/HsqldbTestCase.java,11,22,UD,common snippet for recursevely delete dirs
11202699_0.java,1,12,method,heritrix-1/heritrix-1.14.4/src/java/org/archive/util/FileUtils.java,223,234,deleteDir,jstock-1.0.7c/jstock/src/org/yccheok/jstock/gui/Utils.java,501,515,UD,common snippet for recursevely delete dirs
11202699_0.java,1,12,method,heritrix-1/heritrix-1.14.4/src/java/org/archive/util/FileUtils.java,223,234,deleteDir,jstock-1.0.7c/jstock/src/org/yccheok/jstock/gui/Utils.java,588,599,UD,common snippet for recursevely delete dirs
11741948_0.java,1,12,method,apache-log4j-1.2.16/apache-log4j-1.2.16/src/main/java/org/apache/log4j/lf5/util/StreamUtils.java,12,23,copy,apache-log4j-1.2.16/apache-log4j-1.2.16/src/main/java/org/apache/log4j/lf5/util/StreamUtils.java,12,23,UD,cloned code without evidence of source
23967852_0.java,1,20,method,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/main/java/org/hibernate/dialect/pagination/SQLServer2005LimitHandler.java,42,62,getProcessedSql,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/main/java/org/hibernate/dialect/pagination/SQLServer2005LimitHandler.java,43,62,QS,SO copies code from hibernate to help the answer
10135259_0.java,1,22,method,Compiere_330_Source/release_330/base/src/org/compiere/process/RegisterSystem.java,22,118,doIt,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/help/internal/base/remote/HttpsUtility.java,17,37,UD,commonly reused snippet to connect to https and avoid certificates
10135259_0.java,1,22,method,Compiere_330_Source/release_330/base/src/org/compiere/process/RegisterSystem.java,22,118,doIt,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/help/internal/base/remote/HttpsUtility.java,81,100,UD,commonly reused snippet to connect to https and avoid certificates
2113093_0.java,1,11,method,weka-3-7-9/main/java/weka/core/matrix/SingularValueDecomposition.java,354,364,getS,colt-1/colt/src/cern/colt/matrix/linalg/SingularValueDecomposition.java,345,354,EX,SO code is from JAMA package. cloned method. class in qualitas has the same name as the class in SO was copied from
2113093_0.java,1,11,method,weka-3-7-9/main/java/weka/core/matrix/SingularValueDecomposition.java,354,364,getS,weka-3-7-9/main/java/weka/core/matrix/SingularValueDecomposition.java,354,364,EX,"SO answer says that the code is copied from SingularValueDecomposition.java in Jama. The question is also tagged jama. However, weka code does not say anything about copying. Maybe they wrote this from scratch and they're just coincidentally similar?"
10274267_0.java,1,12,method,hibernate-release-4/hibernate-release-4.2.2.Final/project/documentation/src/main/docbook/devguide/en-US/extras/flush_and_clear_session.java,1,12,method,hibernate-release-4/hibernate-release-4.2.2.Final/project/documentation/src/main/docbook/devguide/en-US/extras/flush_and_clear_session.java,1,12,QS,answer posts code from hibernate to explain
